Evento,Bytes/s,Paquetes/s,Temp,Duración,Escenario
1,283,2,23.79,1.0,Normal
2,175,1,23.8,1.0,Normal
3,259,3,23.8,1.0,Normal
4,190,1,23.83,1.0,Normal
5,176,1,23.76,1.0,Normal
6,176,1,23.78,1.0,Normal
7,175,1,23.78,1.0,Normal
8,175,1,23.83,1.0,Normal
9,175,1,23.82,1.0,Normal
10,175,1,23.84,1.0,Normal
11,176,1,23.78,1.0,Normal
12,176,1,23.75,1.0,Normal
13,176,1,23.79,1.0,Normal
14,176,1,23.76,1.0,Normal
15,176,1,23.84,1.0,Normal
16,176,1,23.84,1.0,Normal
17,176,1,23.76,1.0,Normal
18,175,1,23.77,1.0,Normal
19,176,1,23.82,1.0,Normal
20,176,1,23.77,1.0,Normal
21,190,1,23.84,1.0,Normal
22,175,1,23.76,1.0,Normal
23,176,1,23.76,1.0,Normal
24,175,1,23.76,1.0,Normal
25,176,1,23.76,1.0,Normal
26,176,1,23.83,1.0,Normal
27,176,1,23.81,1.0,Normal
28,175,1,23.85,1.0,Normal
29,259,3,23.8,1.0,Normal
30,176,1,23.78,1.0,Normal
31,176,1,23.82,1.0,Normal
32,176,1,23.83,1.0,Normal
33,175,1,23.79,1.0,Normal
34,176,1,23.79,1.0,Normal
35,176,1,23.79,1.0,Normal
36,176,1,23.82,1.0,Normal
37,173,1,23.76,1.0,Normal
38,176,1,23.79,1.0,Normal
39,176,1,23.84,1.0,Normal
40,174,1,23.82,1.0,Normal
41,176,1,23.75,1.0,Normal
42,176,1,23.78,1.0,Normal
43,176,1,23.76,1.0,Normal
44,175,1,23.83,1.0,Normal
45,175,1,23.82,1.0,Normal
46,175,1,23.82,1.0,Normal
47,176,1,23.83,1.0,Normal
48,176,1,23.81,1.0,Normal
49,175,1,23.8,1.0,Normal
50,176,1,23.85,1.0,Normal
51,174,1,23.8,1.0,Normal
52,176,1,23.75,1.0,Normal
53,189,1,23.79,1.0,Normal
54,176,1,23.77,1.0,Normal
55,260,3,23.83,1.0,Normal
56,176,1,23.83,1.0,Normal
57,176,1,23.85,1.0,Normal
58,175,1,23.8,1.0,Normal
59,190,1,23.85,1.0,Normal
60,175,1,23.77,1.0,Normal
61,176,1,23.77,1.0,Normal
62,176,1,23.78,1.0,Normal
63,176,1,23.77,1.0,Normal
64,175,1,23.8,1.0,Normal
65,176,1,23.81,1.0,Normal
66,176,1,23.77,1.0,Normal
67,175,1,23.76,1.0,Normal
68,176,1,23.79,1.0,Normal
69,176,1,23.84,1.0,Normal
70,176,1,23.85,1.0,Normal
71,175,1,23.82,1.0,Normal
72,175,1,23.85,1.0,Normal
73,175,1,23.8,1.0,Normal
74,176,1,23.83,1.0,Normal
75,190,1,23.76,1.0,Normal
76,176,1,23.82,1.0,Normal
77,176,1,23.82,1.0,Normal
78,175,1,23.75,1.0,Normal
79,175,1,23.84,1.0,Normal
80,175,1,23.84,1.0,Normal
81,260,3,23.85,1.0,Normal
82,176,1,23.84,1.0,Normal
83,176,1,23.76,1.0,Normal
84,176,1,23.84,1.0,Normal
85,190,1,23.76,1.0,Normal
86,176,1,23.83,1.0,Normal
87,176,1,23.76,1.0,Normal
88,176,1,23.82,1.0,Normal
89,176,1,23.81,1.0,Normal
90,176,1,23.81,1.0,Normal
91,176,1,23.81,1.0,Normal
92,176,1,23.82,1.0,Normal
98,5950,36,23.76,1.0,Normal
99,16256,93,23.84,1.0,Estrés
100,16662,95,23.84,1.0,Estrés
101,16249,92,23.79,1.0,Estrés
102,16375,93,23.82,1.0,Estrés
103,16218,92,23.75,1.0,Estrés
104,16191,92,23.78,1.0,Estrés
105,16224,92,23.85,1.0,Estrés
106,16184,92,23.8,1.0,Estrés
107,16284,92,23.83,1.0,Estrés
108,16157,92,23.8,1.0,Estrés
109,16161,92,23.78,1.0,Estrés
110,16257,92,23.77,1.0,Estrés
111,16174,92,23.81,1.0,Estrés
112,16197,92,23.76,1.0,Estrés
113,16193,92,23.77,1.0,Estrés
114,16027,91,23.78,1.0,Estrés
115,16361,93,23.84,1.0,Estrés
116,16221,92,23.79,1.0,Estrés
117,16232,92,23.79,1.0,Estrés
118,16418,93,23.76,1.0,Estrés
119,16043,91,23.84,1.0,Estrés
120,16358,93,23.79,1.0,Estrés
121,16237,92,23.83,1.0,Estrés
122,16281,92,23.78,1.0,Estrés
123,16225,92,23.8,1.0,Estrés
124,16169,92,23.82,1.0,Estrés
125,16239,92,23.78,1.0,Estrés
126,16417,93,23.81,1.0,Estrés
127,16175,92,23.82,1.0,Estrés
128,16228,92,23.81,1.0,Estrés
129,16218,92,23.8,1.0,Estrés
130,16214,92,23.8,1.0,Estrés
131,16196,92,23.83,1.0,Estrés
132,16237,92,23.79,1.0,Estrés
133,16225,92,23.84,1.0,Estrés
134,16225,92,23.82,1.0,Estrés
135,16213,92,23.82,1.0,Estrés
136,16254,92,23.81,1.0,Estrés
137,16204,92,23.79,1.0,Estrés
138,16179,93,23.84,1.0,Estrés
139,16184,92,23.79,1.0,Estrés
140,16220,92,23.8,1.0,Estrés
141,16201,92,23.77,1.0,Estrés
142,16238,92,23.78,1.0,Estrés
143,16419,93,23.78,1.0,Estrés
144,16237,92,23.84,1.0,Estrés
145,16206,92,23.76,1.0,Estrés
146,16180,92,23.8,1.0,Estrés
147,16048,91,23.78,1.0,Estrés
148,16220,92,23.84,1.0,Estrés
149,16237,92,23.82,1.0,Estrés
150,16240,92,23.82,1.0,Estrés
151,16211,92,23.8,1.0,Estrés
152,16406,93,23.78,1.0,Estrés
153,16361,93,23.79,1.0,Estrés
154,16195,92,23.76,1.0,Estrés
155,16210,92,23.78,1.0,Estrés
156,16409,93,23.82,1.0,Estrés
157,16015,91,23.81,1.0,Estrés
158,16433,93,23.75,1.0,Estrés
159,16215,92,23.75,1.0,Estrés
160,16371,93,23.84,1.0,Estrés
161,16179,92,23.78,1.0,Estrés
162,16217,92,23.79,1.0,Estrés
163,16222,92,23.83,1.0,Estrés
164,16174,92,23.85,1.0,Estrés
165,15991,91,23.8,1.0,Estrés
166,16167,92,23.77,1.0,Estrés
167,16210,92,23.77,1.0,Estrés
168,16348,93,23.78,1.0,Estrés
169,16378,93,23.79,1.0,Estrés
170,16203,92,23.85,1.0,Estrés
171,16185,92,23.82,1.0,Estrés
172,16192,92,23.84,1.0,Estrés
173,16179,92,23.83,1.0,Estrés
174,16150,92,23.78,1.0,Estrés
175,16191,92,23.82,1.0,Estrés
176,16023,91,23.79,1.0,Estrés
177,16168,92,23.82,1.0,Estrés
178,16254,92,23.83,1.0,Estrés
179,16277,94,23.81,1.0,Estrés
180,16294,92,23.76,1.0,Estrés
181,16333,93,23.75,1.0,Estrés
182,16031,91,23.85,1.0,Estrés
183,16219,92,23.83,1.0,Estrés
184,16260,92,23.76,1.0,Estrés
185,16241,92,23.79,1.0,Estrés
186,16162,92,23.75,1.0,Estrés
187,16173,92,23.83,1.0,Estrés
188,16299,93,23.85,1.0,Estrés
189,16192,92,23.84,1.0,Estrés
190,16180,92,23.77,1.0,Estrés
191,16053,91,23.83,1.0,Estrés
192,16206,92,23.8,1.0,Estrés
193,16202,92,23.84,1.0,Estrés
194,16226,92,23.79,1.0,Estrés
195,16395,93,23.8,1.0,Estrés
196,16531,94,23.76,1.0,Estrés
197,16407,93,23.8,1.0,Estrés
198,16248,92,23.76,1.0,Estrés
199,16245,92,23.85,1.0,Estrés
200,16346,93,23.82,1.0,Estrés
201,16416,93,23.76,1.0,Estrés
202,16588,94,23.82,1.0,Estrés
203,16362,93,23.83,1.0,Estrés
204,16594,94,23.85,1.0,Estrés
205,16356,93,23.8,1.0,Estrés
206,16595,94,23.78,1.0,Estrés
207,16551,94,23.79,1.0,Estrés
208,16631,94,23.82,1.0,Estrés
209,16353,93,23.79,1.0,Estrés
210,16587,94,23.76,1.0,Estrés
211,16569,94,23.83,1.0,Estrés
212,16413,93,23.76,1.0,Estrés
213,16564,94,23.78,1.0,Estrés
214,16387,93,23.8,1.0,Estrés
215,16540,94,23.79,1.0,Estrés
216,16401,93,23.77,1.0,Estrés
217,16534,94,23.82,1.0,Estrés
218,16565,94,23.76,1.0,Estrés
219,16225,92,23.78,1.0,Estrés
220,16452,95,23.81,1.0,Estrés
221,16192,92,23.82,1.0,Estrés
222,16361,93,23.8,1.0,Estrés
223,16244,92,23.75,1.0,Estrés
224,16380,93,23.83,1.0,Estrés
225,16209,92,23.77,1.0,Estrés
226,16243,92,23.79,1.0,Estrés
227,16468,93,23.79,1.0,Estrés
228,16413,93,23.77,1.0,Estrés
229,16223,92,23.79,1.0,Estrés
230,16152,92,23.78,1.0,Estrés
231,16236,92,23.79,1.0,Estrés
232,16215,92,23.84,1.0,Estrés
233,16188,92,23.82,1.0,Estrés
234,16176,92,23.78,1.0,Estrés
235,16275,92,23.77,1.0,Estrés
236,15719,89,23.76,1.0,Estrés
250,302,4,23.77,1.0,Normal
251,232,2,23.85,1.0,Normal
252,218,2,23.83,1.0,Normal
253,173,1,23.8,1.0,Normal
254,176,1,23.81,1.0,Normal
255,175,1,23.8,1.0,Normal
256,190,1,23.83,1.0,Normal
257,283,2,23.81,1.0,Normal
258,190,1,23.75,1.0,Normal
259,176,1,23.82,1.0,Normal
260,176,1,23.83,1.0,Normal
261,176,1,23.78,1.0,Normal
262,173,1,23.8,1.0,Normal
263,176,1,23.79,1.0,Normal
264,190,1,23.79,1.0,Normal
265,175,1,23.77,1.0,Normal
266,175,1,23.8,1.0,Normal
267,175,1,23.8,1.0,Normal
268,190,1,23.83,1.0,Normal
269,176,1,23.83,1.0,Normal
270,176,1,23.79,1.0,Normal
271,175,1,23.79,1.0,Normal
272,259,3,23.79,1.0,Normal
273,190,1,23.83,1.0,Normal
274,175,1,23.8,1.0,Normal
275,175,1,23.75,1.0,Normal
276,438,5,23.84,1.0,Normal
277,7872,18,23.76,1.0,Normal
278,2428857,2005,23.79,1.0,Ataque (nmap)
279,2114536,1924,23.85,1.0,Ataque (nmap)
280,2942223,2699,23.76,1.0,Ataque (nmap)
281,176,1,23.77,1.0,Normal
282,258,3,23.81,1.0,Normal
283,176,1,23.77,1.0,Normal
284,176,1,23.82,1.0,Normal
285,176,1,23.76,1.0,Normal
286,175,1,23.8,1.0,Normal
287,190,1,23.83,1.0,Normal
288,189,1,23.82,1.0,Normal
289,176,1,23.77,1.0,Normal
290,175,1,23.78,1.0,Normal
291,176,1,23.79,1.0,Normal
292,175,1,23.8,1.0,Normal
293,176,1,23.82,1.0,Normal
294,260,3,23.82,1.0,Normal
295,176,1,23.78,1.0,Normal
296,190,1,23.76,1.0,Normal
297,176,1,23.83,1.0,Normal
298,176,1,23.78,1.0,Normal
299,176,1,23.82,1.0,Normal
300,175,1,23.79,1.0,Normal
301,176,1,23.79,1.0,Normal
302,176,1,23.85,1.0,Normal
303,190,1,23.79,1.0,Normal
304,176,1,23.83,1.0,Normal
305,176,1,23.81,1.0,Normal
306,176,1,23.82,1.0,Normal
307,175,1,23.8,1.0,Normal
308,176,1,23.84,1.0,Normal
309,176,1,23.83,1.0,Normal
310,175,1,23.75,1.0,Normal
311,175,1,23.8,1.0,Normal
312,176,1,23.76,1.0,Normal
313,176,1,23.78,1.0,Normal
314,172,1,23.8,1.0,Normal
315,176,1,23.76,1.0,Normal
316,174,1,23.8,1.0,Normal
317,259,3,23.76,1.0,Normal
318,175,1,23.85,1.0,Normal
319,7505,15,23.82,1.0,Normal
320,323954,263,23.83,1.0,Estrés
321,814158,675,23.76,1.0,Estrés
322,1019671,933,23.77,1.0,Estrés
323,806480,718,23.83,1.0,Estrés
324,405225,380,23.83,1.0,Estrés
325,153638,158,23.83,1.0,Estrés
326,3056864,54143,23.82,1.0,Ataque (nmap)
327,4312187,76981,23.81,1.0,Ataque (nmap)
328,883,5,23.82,1.0,Normal
329,1385,11,23.78,1.0,Normal
330,176,1,23.84,1.0,Normal
331,272,3,23.82,1.0,Normal
332,176,1,23.76,1.0,Normal
333,190,1,23.84,1.0,Normal
334,176,1,23.83,1.0,Normal
335,176,1,23.84,1.0,Normal
336,176,1,23.82,1.0,Normal
337,176,1,23.81,1.0,Normal
338,175,1,23.84,1.0,Normal
339,175,1,23.78,1.0,Normal
340,260,3,23.83,1.0,Normal
341,176,1,23.82,1.0,Normal
342,175,1,23.8,1.0,Normal
343,175,1,23.84,1.0,Normal
344,175,1,23.8,1.0,Normal
345,174,1,23.78,1.0,Normal
346,176,1,23.76,1.0,Normal
347,176,1,23.76,1.0,Normal
348,175,1,23.84,1.0,Normal
349,176,1,23.85,1.0,Normal
350,175,1,23.77,1.0,Normal
351,176,1,23.76,1.0,Normal
352,176,1,23.85,1.0,Normal
353,176,1,23.79,1.0,Normal
354,175,1,23.8,1.0,Normal
355,175,1,23.77,1.0,Normal
356,175,1,23.83,1.0,Normal
357,176,1,23.84,1.0,Normal
358,175,1,23.82,1.0,Normal
359,176,1,23.76,1.0,Normal
360,176,1,23.85,1.0,Normal
361,175,1,23.8,1.0,Normal
362,176,1,23.78,1.0,Normal
363,259,3,23.79,1.0,Normal
364,176,1,23.81,1.0,Normal
365,176,1,23.79,1.0,Normal
366,176,1,23.85,1.0,Normal
367,176,1,23.76,1.0,Normal
368,175,1,23.79,1.0,Normal
369,176,1,23.76,1.0,Normal
370,190,1,23.81,1.0,Normal
371,176,1,23.85,1.0,Normal
372,175,1,23.77,1.0,Normal
373,175,1,23.8,1.0,Normal
374,189,1,23.8,1.0,Normal
