Evento,Escenario,Bytes/s,Paquetes/s,Temp,Duración,Cluster_k2,Cluster_k3
1,Normal,-0.156511208425471,-0.0864078293349544,-0.383547515529047,0.0,0,0
2,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
3,Normal,-0.1565761750761873,-0.0862070841576565,-0.0421902267083382,0.0,0,0
4,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
5,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
6,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
7,Normal,-0.1568035583536942,-0.0866085745122523,-0.7249048043496344,0.0,0,0
8,Normal,-0.1568035583536942,-0.0866085745122523,0.9818816397535454,0.0,0,2
9,Normal,-0.1568035583536942,-0.0866085745122523,0.6405243509329579,0.0,0,2
10,Normal,-0.1568035583536942,-0.0866085745122523,1.323238928574254,0.0,0,2
11,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
12,Normal,-0.1568008514099144,-0.0866085745122523,-1.7489766708116394,0.0,0,0
13,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
14,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
15,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
16,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
17,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
18,Normal,-0.1568035583536942,-0.0866085745122523,-1.0662620931703433,0.0,0,0
19,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
20,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
21,Normal,-0.1567629541969965,-0.0866085745122523,1.323238928574254,0.0,0,2
22,Normal,-0.1568035583536942,-0.0866085745122523,-1.4076193819909306,0.0,0,0
23,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
24,Normal,-0.1568035583536942,-0.0866085745122523,-1.4076193819909306,0.0,0,0
25,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
26,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
27,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
28,Normal,-0.1568035583536942,-0.0866085745122523,1.6645962173949629,0.0,0,2
29,Normal,-0.1565761750761873,-0.0862070841576565,-0.0421902267083382,0.0,0,0
30,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
31,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
32,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
33,Normal,-0.1568035583536942,-0.0866085745122523,-0.383547515529047,0.0,0,0
34,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
35,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
36,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
37,Normal,-0.1568089722412539,-0.0866085745122523,-1.4076193819909306,0.0,0,0
38,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
39,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
40,Normal,-0.156806265297474,-0.0866085745122523,0.6405243509329579,0.0,0,2
41,Normal,-0.1568008514099144,-0.0866085745122523,-1.7489766708116394,0.0,0,0
42,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
43,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
44,Normal,-0.1568035583536942,-0.0866085745122523,0.9818816397535454,0.0,0,2
45,Normal,-0.1568035583536942,-0.0866085745122523,0.6405243509329579,0.0,0,2
46,Normal,-0.1568035583536942,-0.0866085745122523,0.6405243509329579,0.0,0,2
47,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
48,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
49,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
50,Normal,-0.1568008514099144,-0.0866085745122523,1.6645962173949629,0.0,0,2
51,Normal,-0.156806265297474,-0.0866085745122523,-0.0421902267083382,0.0,0,0
52,Normal,-0.1568008514099144,-0.0866085745122523,-1.7489766708116394,0.0,0,0
53,Normal,-0.1567656611407764,-0.0866085745122523,-0.383547515529047,0.0,0,0
54,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
55,Normal,-0.1565734681324074,-0.0862070841576565,0.9818816397535454,0.0,0,2
56,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
57,Normal,-0.1568008514099144,-0.0866085745122523,1.6645962173949629,0.0,0,2
58,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
59,Normal,-0.1567629541969965,-0.0866085745122523,1.6645962173949629,0.0,0,2
60,Normal,-0.1568035583536942,-0.0866085745122523,-1.0662620931703433,0.0,0,0
61,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
62,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
63,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
64,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
65,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
66,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
67,Normal,-0.1568035583536942,-0.0866085745122523,-1.4076193819909306,0.0,0,0
68,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
69,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
70,Normal,-0.1568008514099144,-0.0866085745122523,1.6645962173949629,0.0,0,2
71,Normal,-0.1568035583536942,-0.0866085745122523,0.6405243509329579,0.0,0,2
72,Normal,-0.1568035583536942,-0.0866085745122523,1.6645962173949629,0.0,0,2
73,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
74,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
75,Normal,-0.1567629541969965,-0.0866085745122523,-1.4076193819909306,0.0,0,0
76,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
77,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
78,Normal,-0.1568035583536942,-0.0866085745122523,-1.7489766708116394,0.0,0,0
79,Normal,-0.1568035583536942,-0.0866085745122523,1.323238928574254,0.0,0,2
80,Normal,-0.1568035583536942,-0.0866085745122523,1.323238928574254,0.0,0,2
81,Normal,-0.1565734681324074,-0.0862070841576565,1.6645962173949629,0.0,0,2
82,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
83,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
84,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
85,Normal,-0.1567629541969965,-0.0866085745122523,-1.4076193819909306,0.0,0,0
86,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
87,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
88,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
89,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
90,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
91,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
92,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
98,Normal,-0.1411709580250925,-0.0795824933068258,-1.4076193819909306,0.0,0,0
99,Estrés,-0.1132731954300156,-0.0681400182008454,1.323238928574254,0.0,0,2
100,Estrés,-0.1121741762553988,-0.0677385278462496,1.323238928574254,0.0,0,2
101,Estrés,-0.1132921440364745,-0.0683407633781433,-0.383547515529047,0.0,0,0
102,Estrés,-0.1129510691202141,-0.0681400182008454,0.6405243509329579,0.0,0,2
103,Estrés,-0.1133760592936497,-0.0683407633781433,-1.7489766708116394,0.0,0,0
104,Estrés,-0.1134491467757055,-0.0683407633781433,-0.7249048043496344,0.0,0,0
105,Estrés,-0.1133598176309706,-0.0683407633781433,1.6645962173949629,0.0,0,2
106,Estrés,-0.1134680953821644,-0.0683407633781433,-0.0421902267083382,0.0,0,0
107,Estrés,-0.11319740100418,-0.0683407633781433,0.9818816397535454,0.0,0,2
108,Estrés,-0.1135411828642202,-0.0683407633781433,-0.0421902267083382,0.0,0,0
109,Estrés,-0.1135303550891008,-0.0683407633781433,-0.7249048043496344,0.0,0,0
110,Estrés,-0.1132704884862358,-0.0683407633781433,-1.0662620931703433,0.0,0,0
111,Estrés,-0.1134951648199629,-0.0683407633781433,0.2991670621122492,0.0,0,2
112,Estrés,-0.1134329051130264,-0.0683407633781433,-1.4076193819909306,0.0,0,0
113,Estrés,-0.1134437328881458,-0.0683407633781433,-1.0662620931703433,0.0,0,0
114,Estrés,-0.1138930855556,-0.0685415085554412,-0.7249048043496344,0.0,0,0
115,Estrés,-0.1129889663331319,-0.0681400182008454,1.323238928574254,0.0,0,2
116,Estrés,-0.1133679384623102,-0.0683407633781433,-0.383547515529047,0.0,0,0
117,Estrés,-0.1133381620807319,-0.0683407633781433,-0.383547515529047,0.0,0,0
118,Estrés,-0.1128346705376808,-0.0681400182008454,-1.4076193819909306,0.0,0,0
119,Estrés,-0.1138497744551225,-0.0685415085554412,1.323238928574254,0.0,0,2
120,Estrés,-0.1129970871644715,-0.0681400182008454,-0.383547515529047,0.0,0,0
121,Estrés,-0.1133246273618327,-0.0683407633781433,0.9818816397535454,0.0,0,2
122,Estrés,-0.1132055218355195,-0.0683407633781433,-0.7249048043496344,0.0,0,0
123,Estrés,-0.1133571106871908,-0.0683407633781433,-0.0421902267083382,0.0,0,0
124,Estrés,-0.1135086995388621,-0.0683407633781433,0.6405243509329579,0.0,0,2
125,Estrés,-0.113319213474273,-0.0683407633781433,-0.7249048043496344,0.0,0,0
126,Estrés,-0.1128373774814607,-0.0681400182008454,0.2991670621122492,0.0,0,2
127,Estrés,-0.113492457876183,-0.0683407633781433,0.6405243509329579,0.0,0,2
128,Estrés,-0.1133489898558513,-0.0683407633781433,0.2991670621122492,0.0,0,2
129,Estrés,-0.1133760592936497,-0.0683407633781433,-0.0421902267083382,0.0,0,0
130,Estrés,-0.1133868870687691,-0.0683407633781433,-0.0421902267083382,0.0,0,0
131,Estrés,-0.1134356120568063,-0.0683407633781433,0.9818816397535454,0.0,0,2
132,Estrés,-0.1133246273618327,-0.0683407633781433,-0.383547515529047,0.0,0,0
133,Estrés,-0.1133571106871908,-0.0683407633781433,1.323238928574254,0.0,0,2
134,Estrés,-0.1133571106871908,-0.0683407633781433,0.6405243509329579,0.0,0,2
135,Estrés,-0.1133895940125489,-0.0683407633781433,0.6405243509329579,0.0,0,2
136,Estrés,-0.1132786093175753,-0.0683407633781433,0.2991670621122492,0.0,0,2
137,Estrés,-0.1134139565065675,-0.0683407633781433,-0.383547515529047,0.0,0,0
138,Estrés,-0.1134816301010636,-0.0681400182008454,1.323238928574254,0.0,0,2
139,Estrés,-0.1134680953821644,-0.0683407633781433,-0.383547515529047,0.0,0,0
140,Estrés,-0.11337064540609,-0.0683407633781433,-0.0421902267083382,0.0,0,0
141,Estrés,-0.1134220773379071,-0.0683407633781433,-1.0662620931703433,0.0,0,0
142,Estrés,-0.1133219204180528,-0.0683407633781433,-0.7249048043496344,0.0,0,0
143,Estrés,-0.112831963593901,-0.0681400182008454,-0.7249048043496344,0.0,0,0
144,Estrés,-0.1133246273618327,-0.0683407633781433,1.323238928574254,0.0,0,2
145,Estrés,-0.1134085426190078,-0.0683407633781433,-1.4076193819909306,0.0,0,0
146,Estrés,-0.1134789231572838,-0.0683407633781433,-0.0421902267083382,0.0,0,0
147,Estrés,-0.1138362397362233,-0.0685415085554412,-0.7249048043496344,0.0,0,0
148,Estrés,-0.11337064540609,-0.0683407633781433,1.323238928574254,0.0,0,2
149,Estrés,-0.1133246273618327,-0.0683407633781433,0.6405243509329579,0.0,0,2
150,Estrés,-0.1133165065304931,-0.0683407633781433,0.6405243509329579,0.0,0,2
151,Estrés,-0.1133950079001086,-0.0683407633781433,-0.0421902267083382,0.0,0,0
152,Estrés,-0.112867153863039,-0.0681400182008454,-0.7249048043496344,0.0,0,0
153,Estrés,-0.1129889663331319,-0.0681400182008454,-0.383547515529047,0.0,0,0
154,Estrés,-0.1134383190005861,-0.0683407633781433,-1.4076193819909306,0.0,0,0
155,Estrés,-0.1133977148438885,-0.0683407633781433,-0.7249048043496344,0.0,0,0
156,Estrés,-0.1128590330316994,-0.0681400182008454,0.6405243509329579,0.0,0,2
157,Estrés,-0.1139255688809581,-0.0685415085554412,0.2991670621122492,0.0,0,2
158,Estrés,-0.1127940663809831,-0.0681400182008454,-1.7489766708116394,0.0,0,0
159,Estrés,-0.1133841801249892,-0.0683407633781433,-1.7489766708116394,0.0,0,0
160,Estrés,-0.1129618968953335,-0.0681400182008454,1.323238928574254,0.0,0,2
161,Estrés,-0.1134816301010636,-0.0683407633781433,-0.7249048043496344,0.0,0,0
162,Estrés,-0.1133787662374296,-0.0683407633781433,-0.383547515529047,0.0,0,0
163,Estrés,-0.1133652315185303,-0.0683407633781433,0.9818816397535454,0.0,0,2
164,Estrés,-0.1134951648199629,-0.0683407633781433,1.6645962173949629,0.0,0,2
165,Estrés,-0.1139905355316744,-0.0685415085554412,-0.0421902267083382,0.0,0,0
166,Estrés,-0.1135141134264218,-0.0683407633781433,-1.0662620931703433,0.0,0,0
167,Estrés,-0.1133977148438885,-0.0683407633781433,-1.0662620931703433,0.0,0,0
168,Estrés,-0.1130241566022699,-0.0681400182008454,-0.7249048043496344,0.0,0,0
169,Estrés,-0.1129429482888746,-0.0681400182008454,-0.383547515529047,0.0,0,0
170,Estrés,-0.1134166634503474,-0.0683407633781433,1.6645962173949629,0.0,0,2
171,Estrés,-0.1134653884383846,-0.0683407633781433,0.6405243509329579,0.0,0,2
172,Estrés,-0.1134464398319257,-0.0683407633781433,1.323238928574254,0.0,0,2
173,Estrés,-0.1134816301010636,-0.0683407633781433,0.9818816397535454,0.0,0,2
174,Estrés,-0.1135601314706791,-0.0683407633781433,-0.7249048043496344,0.0,0,0
175,Estrés,-0.1134491467757055,-0.0683407633781433,0.6405243509329579,0.0,0,2
176,Estrés,-0.1139039133307194,-0.0685415085554412,-0.383547515529047,0.0,0,0
177,Estrés,-0.1135114064826419,-0.0683407633781433,0.6405243509329579,0.0,0,2
178,Estrés,-0.1132786093175753,-0.0683407633781433,0.9818816397535454,0.0,0,2
179,Estrés,-0.1132163496106389,-0.0679392730235475,0.2991670621122492,0.0,0,2
180,Estrés,-0.1131703315663815,-0.0683407633781433,-1.4076193819909306,0.0,0,0
181,Estrés,-0.1130647607589676,-0.0681400182008454,-1.7489766708116394,0.0,0,0
182,Estrés,-0.1138822577804806,-0.0685415085554412,1.6645962173949629,0.0,0,2
183,Estrés,-0.1133733523498699,-0.0683407633781433,0.9818816397535454,0.0,0,2
